primaryTitle,genres,directors,writers,averageRating,gross
A Low Down Dirty Shame,"['Action', 'Comedy', 'Crime']",['nm0005540'],['nm0005540'],5.9,29317886
A Man Apart,"['Action', 'Crime', 'Drama']",['nm0336620'],"['nm0345615', 'nm0771228']",6.1,43797731
A Midsummer Night's Dream,"['Comedy', 'Fantasy']",['nm3371813'],"['nm3371813', 'nm0000636']",6.4,25011645
A Midsummer Night's Dream,['Comedy'],['nm1075618'],"['nm1075618', 'nm0000636']",7.4,25011645
A Midsummer Night's Dream,['Comedy'],['nm0853380'],['nm0000636'],7.0,25011645
A Midsummer Night's Dream,['Drama'],['nm0619946'],"['nm0000636', 'nm1583684', 'nm0619946']",5.7,25011645
A Midsummer Night's Dream,"['Comedy', 'Fantasy', 'Romance']",['nm0001355'],"['nm0000636', 'nm0001355']",6.4,25011645
A Midsummer Night's Dream,"['Comedy', 'Romance']",['nm0633542'],['nm0000636'],6.2,25011645
A Night at the Roxbury,"['Comedy', 'Music', 'Romance']",['nm0287198'],"['nm0466175', 'nm0002071', 'nm0441592']",6.2,30331165
A Nightmare on Elm Street,"['Crime', 'Drama', 'Horror']",['nm1207904'],"['nm0834338', 'nm2104063', 'nm0000127']",5.2,117729621
A Perfect Murder,"['Crime', 'Drama', 'Thriller']",['nm0001112'],"['nm0461425', 'nm0446761']",6.5,67658331
A Perfect World,"['Crime', 'Drama', 'Thriller']",['nm0000142'],['nm0359387'],7.5,31160784
A Rage in Harlem,"['Comedy', 'Crime']",['nm0004886'],"['nm0385396', 'nm0866019', 'nm0186709']",5.9,10438504
A River Runs Through It,['Drama'],['nm0000602'],"['nm0533805', 'nm0295030']",7.3,43440294
A Stranger Among Us,"['Crime', 'Drama', 'Romance']",['nm0001486'],['nm0043334'],5.7,12282994
A Time to Kill,"['Crime', 'Drama', 'Thriller']",['nm0001708'],"['nm0001300', 'nm0326040']",7.4,152266007
A Time to Kill,"['Crime', 'Drama', 'Thriller']",['nm0334552'],"['nm0334552', 'nm0477477', 'nm0780181', 'nm1032751']",5.6,152266007
A Very Brady Sequel,['Comedy'],['nm0762541'],"['nm0777442', 'nm0253323', 'nm0438226', 'nm0073790', 'nm0956785']",5.6,21443204
A Walk in the Clouds,"['Drama', 'Romance']",['nm0000778'],"['nm0436543', 'nm0588903', 'nm0919386', 'nm0854502', 'nm0953790', 'nm0207365']",6.7,50008143
A Walk to Remember,"['Drama', 'Romance']",['nm0788202'],"['nm0817023', 'nm0418321']",7.4,46060861
Abduction,"['Action', 'Comedy', 'Drama']","['nm4726238', 'nm5417185']","['nm4726238', 'nm5417185']",3.0,86648359
Abduction,"['Action', 'Mystery', 'Thriller']",['nm0005436'],['nm0159900'],5.1,86648359
Abduction,"['Horror', 'Thriller']",['nm5303254'],['nm4464037'],5.6,86648359
Abduction,"['Horror', 'Thriller']",['nm2320332'],['nm2320332'],3.5,86648359
About Schmidt,"['Comedy', 'Drama']",['nm0668247'],"['nm1095201', 'nm0668247', 'nm0852591']",7.2,107054484
About Time,"['Comedy', 'Drama', 'Fantasy']",['nm0193485'],['nm0193485'],7.8,89309178
About a Boy,"['Comedy', 'Drama', 'Romance']","['nm0919363', 'nm0919369']","['nm0394984', 'nm0373282', 'nm0919363', 'nm0919369']",7.1,130759651
Above the Rim,"['Crime', 'Drama', 'Sport']",['nm0689385'],"['nm0689385', 'nm0575656', 'nm0177875']",6.6,16026469
Abraham Lincoln: Vampire Hunter,"['Action', 'Fantasy', 'Horror']",['nm0067457'],['nm0334381'],5.9,137489730
Absolute Power,"['Action', 'Crime', 'Drama']",['nm0000142'],"['nm0049641', 'nm0001279']",6.7,50068310
Ace Ventura: Pet Detective,['Comedy'],['nm0001723'],"['nm0077062', 'nm0001723', 'nm0000120']",6.9,107217396
Ace Ventura: When Nature Calls,"['Adventure', 'Comedy', 'Crime']",['nm0644203'],"['nm0077062', 'nm0644203']",6.3,212400000
Act of Valor,"['Action', 'Adventure', 'Drama']","['nm0915304', 'nm0566788']",['nm0426500'],6.5,82497035
Addams Family Values,"['Comedy', 'Fantasy']",['nm0001756'],"['nm0011623', 'nm0397411']",6.7,46293855
After Earth,"['Action', 'Adventure', 'Sci-Fi']",['nm0796117'],"['nm1729428', 'nm0796117', 'nm0000226']",4.8,251499665
Agent Cody Banks,"['Action', 'Adventure', 'Comedy']",['nm0958969'],"['nm1005420', 'nm0826714', 'nm0018735', 'nm0438989', 'nm1155510']",5.1,58240458
Air America,"['Action', 'Comedy']",['nm0006854'],"['nm0730313', 'nm0260675', 'nm0750701']",5.8,32914515
Air Bud,"['Comedy', 'Drama', 'Family']",['nm0001747'],"['nm0225235', 'nm0848496', 'nm0578850']",5.2,27788649
Air Force One,"['Action', 'Drama', 'Thriller']",['nm0000583'],['nm0549256'],6.5,315268353
Aladdin,"['Adventure', 'Animation', 'Comedy']","['nm0166256', 'nm0615780']","['nm0166256', 'nm0615780', 'nm0254645', 'nm0744429', 'nm0560329', 'nm0021249', 'nm0423161', 'nm0363125', 'nm0629734', 'nm0322368', 'nm0740311', 'nm0500858', 'nm0969162', 'nm0361315', 'nm0510674', 'nm0715949', 'nm1061362', 'nm0761498', 'nm0683724', 'nm0893358']",8.0,504050219
Alexander,"['Action', 'Adventure', 'Biography']",['nm0000231'],"['nm0000231', 'nm0477370', 'nm0436164']",5.6,167297191
Ali,['Drama'],['nm1021159'],"['nm1943791', 'nm1021159']",6.4,87683966
Ali,"['Biography', 'Drama', 'Sport']",['nm0000520'],"['nm0397322', 'nm0729151', 'nm0929349', 'nm0744839', 'nm0000520']",6.8,87683966
Alice Through the Looking Glass,"['Adventure', 'Family', 'Fantasy']",['nm0090386'],"['nm0941314', 'nm0140902']",6.2,276934087
Alice in Wonderland,"['Adventure', 'Family', 'Fantasy']",['nm0000318'],"['nm0941314', 'nm0140902']",6.5,1025491110
Alice in Wonderland,"['Fantasy', 'Musical']",['nm0288188'],['\\N'],6.5,1025491110
